Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Limited Competition: Mentored Research Career Development Program Award in Clinical and Translational Science Awards (CTSA) Program (K12 Clinical Trial Optional)","12/10/2024","9/29/2027","K12","NIH","NCATS","None","PAR-25-196","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-196.html"
"Exploratory/Developmental Bioengineering Research Grants (EBRG) (R21 Clinical Trial Optional)","12/10/2024","1/8/2028","R21","NIH","NCI","None","PAR-25-321","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-321.html"
"Awards Supporting Cutting-Edge Technologies for Translational Science (ASCETTS) (R21 Clinical Trials Not Allowed)","12/10/2024","6/19/2026","R21","NIH","NCATS","None","PAR-25-157","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-157.html"
"NIDCR Small Research Grants for Oral Health Data Analysis and Statistical Methodology Development (R03 Clinical Trial Not Allowed)","12/10/2024","9/8/2025","R03","NIH","NIDCR","None","PAR-25-045","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-045.html"
"NIAMS Clinical Trial Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required)","12/9/2024","3/5/2027","UG3/UH3","NIH","NIAMS","None","PAR-25-141","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-141.html"
"Clinical Observational (CO) Studies in Musculoskeletal, Rheumatic, and Skin Diseases (R01 Clinical Trial Not Allowed)","12/9/2024","11/3/2026","R01","NIH","NIAMS","None","PAR-24-280","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-280.html"
"Exploratory Clinical Trial Grants in Arthritis and Musculoskeletal and Skin Diseases (R61 Clinical Trial Required)","12/9/2024","11/3/2026","R61","NIH","NIAMS","None","PAR-24-279","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-279.html"
"BRAIN Initiative: New Concepts and Early-Stage Research for Recording and Modulation in the Nervous System (R21) (Clinical Trial Not Allowed)","12/9/2024","6/16/2026","R21","NIH","NEI","NCCIH, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NINDS","RFA-EY-25-001","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-EY-25-001.html"
"NIDDK Centers for Diabetes Translation Research (P30 Clinical Trial Optional)","12/9/2024","6/11/2025","P30","NIH","NIDDK","None","RFA-DK-26-001","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-001.html"
"Ancillary Studies to Ongoing Clinical Projects (R01 Clinical Trial Not Allowed)","12/9/2024","12/6/2025","R01","NIH","NIAMS","None","PAR-24-289","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-289.html"
"Ancillary Studies to Ongoing Clinical Projects (R21 Clinical Trial Not Allowed)","12/9/2024","12/6/2025","R21","NIH","NIAMS","None","PAR-25-230","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-230.html"
"Limited Competition: NCATS Clinical and Translational Science Award (CTSA) Program Research Education Grants Programs (R25 - Clinical Trial Not Allowed)","12/9/2024","5/29/2027","R25","NIH","NCATS","None","PAR-25-197","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-197.html"
"Role of Defective Proviruses in HIV Persistence (R01 Clinical Trial Not Allowed)","12/9/2024","1/8/2028","R01","NIH","NIAID","NICHD, NIDDK, NIMH","PAR-25-330","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-330.html"
"Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (R15 Clinical Trial Not Allowed)","12/6/2024","1/8/2028","R15","NIH","NIDCR","NCCIH, NCI, NEI, NHGRI, NIMH, NINDS, NINR, ORIP, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIEHS","PAR-25-298","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-298.html"
"Pilot Health Services and Economic Research on the Treatment of Drug, Alcohol, and Tobacco Use Disorders (R34 Clinical Trial Optional)","12/6/2024","5/8/2027","R34","NIH","NIDA","None","PAR-25-100","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-100.html"
"Interventions to Reduce Sleep Health Disparities (R01 - Clinical Trials Optional)","12/6/2024","9/8/2027","R01","NIH","NIMHD","NCI, NHLBI, NIA, NIAAA, NINDS, NINR, OBSSR","PAR-24-330","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-330.html"
"Preclinical Proof of Concept Studies for Rare Diseases (R21 Clinical Trial Not Allowed)","12/6/2024","6/3/2026","R21","NIH","NCATS","None","RFA-TR-25-002","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-TR-25-002.html"
"NIMH Career Transition Award for Tenure-Track Intramural Investigators (K22 Independent Clinical Trial Not Allowed)","12/6/2024","11/13/2027","K22","NIH","NIMH","None","PAR-24-286","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-286.html"
"Interventions to Address Disparities in Liver Diseases and Liver Cancer (R01 - Clinical Trials Optional)","12/5/2024","1/8/2028","R01","NIH","NIMHD","NCI, NIAAA","PAR-25-299","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-299.html"
"High-Priority Research in Tobacco Regulatory Science (R01 Clinical Trial Optional)","12/5/2024","6/7/2025","R01","NIH","ODP","NCI, NHLBI, NIDA","RFA-OD-25-001","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-25-001.html"
"Accelerating the Pace of Substance Use Research Using Existing Data (R21 Clinical Trial Not Allowed)","12/5/2024","12/4/2027","R21","NIH","NIDA","None","RFA-DA-26-056","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-056.html"
"Accelerating the Pace of Substance Use Research Using Existing Data (R01 Clinical Trial Not Allowed)","12/5/2024","12/4/2027","R01","NIH","NIDA","None","RFA-DA-26-055","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-055.html"
"NHLBI Early Phase Clinical Trials for Therapeutics and/or Diagnostics for HLBS Disorders (R61/R33 Clinical Trial Required)","12/5/2024","1/8/2027","R61/R33","NIH","NHLBI","None","PAR-25-026","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-026.html"
"NHLBI Early Phase Clinical Trials for Therapeutics and/or Diagnostics for HLBS Disorders (R33 CT Required)","12/5/2024","1/8/2027","R33","NIH","NHLBI","None","PAR-25-025","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-025.html"
"NIDCR Prospective Observational or Biomarker Validation Study Cooperative Agreement (U01 Clinical Trial Not Allowed)","12/5/2024","5/8/2026","U01","NIH","NIDCR","None","PAR-25-239","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-239.html"
"Alzheimer's Drug-Development Program (U01 Clinical Trial Optional)","12/4/2024","11/6/2027","U01","NIH","NIA","None","PAR-25-297","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-297.html"
"Mobile Health: Technology and Outcomes in Low and Middle Income Countries (R21/R33 - Clinical Trial Optional)","12/4/2024","3/21/2026","R21/R33","NIH","FIC","NCI, NEI, NIBIB, NICHD, NIDCD, NIMH, ODS, ORWH","PAR-25-242","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-242.html"
"NIAID Career Transition Award (K22 Independent Clinical Trial Not Allowed)","12/3/2024","1/8/2028","K22","NIH","NIAID","None","PAR-25-251","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-251.html"
"Accelerating Solutions to Improve Access and Quality of Empirically-Supported Practices for Youth Mental Health (R01 Clinical Trial Optional)","12/3/2024","1/8/2027","R01","NIH","NIMH","None","PAR-25-310","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-310.html"
"NCCIH Natural Product Mid Phase Clinical Trial (R01 Clinical Trial Required)","12/2/2024","11/14/2026","R01","NIH","NCCIH","None","PAR-25-271","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-271.html"
"NCCIH Natural Product Early Phase Clinical Trial Award (R33 Clinical Trial Required)","12/2/2024","11/14/2026","R33","NIH","NCCIH","None","PAR-25-270","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-270.html"
"NCCIH Natural Product Early Phase Clinical Trial Phased Innovation Award (R61/R33 Clinical Trial Required)","12/2/2024","11/14/2026","R61/R33","NIH","NCCIH","None","PAR-25-269","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-269.html"
"Targeting Cell Surface HIV Envelope for Cell Elimination (R01 Clinical Trial Not Allowed)","12/2/2024","1/8/2028","R01","NIH","NIAID","None","PAR-25-300","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-300.html"
"Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R21 - Clinical Trial Optional)","12/2/2024","11/17/2027","R21","NIH","NICHD","None","PAR-25-266","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-266.html"
"Innovative Screening Approaches and Therapies for Screenable Disorders in Newborns (R01 - Clinical Trial Optional)","12/2/2024","11/17/2027","R01","NIH","NICHD","None","PAR-25-265","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-265.html"
"Career Transition Award for NINDS Intramural Clinician-Scientists (K22 Clinical Trial Not Allowed)","12/2/2024","11/13/2027","K22","NIH","NINDS","None","PAR-25-215","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-215.html"
"Career Transition Award for NINDS Intramural Clinician-Scientists (K22 Clinical Trial Required)","12/2/2024","11/13/2027","K22","NIH","NINDS","None","PAR-25-216","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-216.html"
"Time-Sensitive Research Opportunities in Environmental Health Sciences (R21 Clinical Trials Not Allowed)","12/2/2024","12/2/2025","R21","NIH","NIEHS","None","RFA-ES-25-003","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-25-003.html"
"NIDCR Behavioral and Social Intervention Clinical Trial Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required)","12/2/2024","1/7/2028","UG3/UH3","NIH","NIDCR","None","PAR-25-188","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-188.html"
"Alcohol Treatment, Pharmacotherapy, and Recovery Research (R34 Clinical Trial required)","11/27/2024","9/8/2026","R34","NIH","NIAAA","None","PAR-25-193","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-193.html"
"Alcohol Treatment, Pharmacotherapy, and Recovery Research (R01 Clinical Trial Required)","11/27/2024","9/8/2026","R01","NIH","NIAAA","None","PA-25-163","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-163.html"
"Alcohol Health Services Research (R01 Clinical Trial Optional)","11/27/2024","9/8/2026","R01","NIH","NIAAA","None","PA-25-245","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-245.html"
"Alcohol Health Services Research (R34 Clinical Trial Optional)","11/27/2024","9/8/2026","R34","NIH","NIAAA","None","PAR-25-192","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-192.html"
"Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Not Allowed)","11/26/2024","1/8/2028","R15","NIH","NIGMS","NIDCD, NIDCR, NIDDK, NIEHS, NIMH, NINDS, NINR, NLM, THRO, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA","PAR-25-134","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-134.html"
"Effectiveness Trials to Test Mental Health System Interventions (R61/R33 Clinical Trial Required)","11/26/2024","10/16/2027","R61/R33","NIH","NIMH","None","PAR-25-285","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-285.html"
"Early Stage Testing of Pharmacologic or Neuromodulatory Device-based Interventions for the Treatment of Mental Disorders (R61/R33 Clinical Trial Required)","11/26/2024","10/16/2027","R61/R33","NIH","NIMH","None","PAR-25-184","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-184.html"
"Early Stage Testing of Pharmacologic or Neuromodulatory Device-based Interventions for the Treatment of Mental Disorders (R33- Clinical Trial Required)","11/26/2024","10/16/2027","R33","NIH","NIMH","None","PAR-25-183","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-183.html"
"Development of Psychosocial Therapeutic and Preventive Interventions for Mental Disorders (R61/R33 Clinical Trial Required)","11/26/2024","10/16/2027","R61/R33","NIH","NIMH","None","PAR-25-182","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-182.html"
"Development of Psychosocial Therapeutic and Preventive Interventions for Mental Disorders (R33 Clinical Trial Required)","11/26/2024","10/16/2027","R33","NIH","NIMH","None","PAR-25-181","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-181.html"
"First in Human and Early Stage Clinical Trials of Novel Investigational Drugs or Neuromodulatory Device-based Interventions for Psychiatric Disorders (U01 Clinical Trial Required)","11/26/2024","10/16/2027","U01","NIH","NIMH","None","PAR-25-180","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-180.html"
"Confirmatory Efficacy Clinical Trials of Non-Pharmacological and Pharmacological Interventions for Mental Disorders (R01 Clinical Trial Required)","11/26/2024","10/16/2027","R01","NIH","NIMH","None","PAR-25-179","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-179.html"
"Pilot Hybrid Effectiveness-Implementation Trials for Mental Health Interventions (R01  Clinical Trial Required)","11/26/2024","10/16/2027","R01","NIH","NIMH","None","PAR-25-178","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-178.html"
"Full-Scale Hybrid Effectiveness-Implementation Trials for Mental Health Interventions (R01 - Clinical Trial Required)","11/26/2024","10/16/2027","R01","NIH","NIMH","None","PAR-25-177","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-177.html"
"HIV Prevention and Alcohol (R01 Clinical Trials Optional)","11/25/2024","5/8/2026","R01","NIH","NIAAA","ODP","PAS-25-208","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-208.html"
"HIV Prevention and Alcohol (R34 Clinical Trials Optional)","11/25/2024","5/8/2026","R34","NIH","NIAAA","None","PAS-25-161","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-161.html"
"Development of Animal Models and Related Biological Materials for Down Syndrome Research (R21 Clinical Trial Not Allowed)","11/25/2024","1/8/2026","R21","NIH","OD","NHLBI, NIA, NIAID, NICHD, NIDCD, ORIP","PAR-25-214","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-214.html"
"Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R34 Clinical Trial Required)","11/25/2024","1/8/2028","R34","NIH","NIMH","None","PAR-25-288","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-288.html"
"Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R01 Clinical Trial Required)","11/25/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-289","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-289.html"
"NLM Research Grants in Biomedical Informatics and Data Science (R01 Clinical Trial Optional)","11/25/2024","3/6/2026","R01","NIH","NLM","ODSS","PAR-25-238","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-238.html"
"The Role of Work in Health Disparities in the U.S. (R01 Clinical Trials Optional)","11/25/2024","1/8/2028","R01","NIH","NIMHD","NCI, NIA, NIDA, NIMH, NINR","PAR-25-292","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-292.html"
"New Approaches for Measuring Brain Changes Across Longer Timespans (R01 Clinical Trial Optional)","11/25/2024","5/8/2027","R01","NIH","NIA","NCI, NIBIB, NICHD","PAR-25-279","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-279.html"
"New Approaches for Measuring Brain Changes Across Longer Timespans (R21 Clinical Trial Optional)","11/25/2024","5/8/2027","R21","NIH","NIA","NCI, NICHD","PAR-25-272","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-272.html"
"Prevention and Intervention Approaches for Fetal Alcohol Spectrum Disorders (R34 Clinical Trial Optional)","11/25/2024","1/8/2027","R34","NIH","NIAAA","ODP","PAR-25-159","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-159.html"
"Prevention and Intervention Approaches for Fetal Alcohol Spectrum Disorders (R61/R33 Clinical Trial Optional)","11/25/2024","11/18/2026","R61/R33","NIH","NIAAA","None","PAR-25-158","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-158.html"
"Utilizing Invasive Recording and Stimulating Opportunities in Humans to Advance Neural Circuitry Understanding of Mental Health Disorders (R01 Clinical Trial Optional)","11/22/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-290","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-290.html"
"Utilizing Invasive Recording and Stimulating Opportunities in Humans to Advance Neural Circuitry Understanding of Mental Health Disorders (R21 Clinical Trial Optional)","11/22/2024","1/8/2028","R21","NIH","NIMH","None","PAR-25-291","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-291.html"
"Seamless Early-Stage Clinical Drug Development (Phase 1 to 2a) for Novel therapeutic Agents for the Spectrum of Alzheimer's Disease (AD) and AD-related Dementias (ADRD) (UG3/UH3 Clinical Trial Required)","11/22/2024","11/20/2026","UG3/UH3","NIH","NIA","None","PAR-25-226","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-226.html"
"Mood and Psychosis Symptoms during the Menopause Transition (R21 Clinical Trial Optional)","11/22/2024","1/8/2028","R21","NIH","NIMH","ORWH","PAR-25-282","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-282.html"
"Mood and Psychosis Symptoms during the Menopause Transition (R01 Clinical Trial Optional)","11/22/2024","1/8/2028","R01","NIH","NIMH","ORWH","PAR-25-281","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-281.html"
"Catalyze: Product Definition  Medical Device Prototype Optimization (R33 - Clinical Trial Not Allowed)","11/22/2024","12/24/2027","R33","NIH","NHLBI","None","RFA-HL-26-020","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-020.html"
"Catalyze Product Definition  Medical Device prototype design/testing and disease target identification and assay development (R61/R33 - Clinical Trial Not Allowed)","11/22/2024","12/24/2027","R61/R33","NIH","NHLBI","None","RFA-HL-26-019","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-019.html"
"Catalyze: Product Definition for Small Molecules, Biologics, and Combination Products - Preliminary Product/Lead Series Identification and Combination Product Prototype (R33 - Clinical Trial Not Allowed)","11/22/2024","12/24/2027","R33","NIH","NHLBI","None","RFA-HL-26-018","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-018.html"
"Catalyze: Product Definition for Small Molecules, Biologics and Combination Products - Target Identification and Validation, and Preliminary Product/Lead Series Identification (R61/R33  Clinical Trials Not Allowed)","11/22/2024","12/24/2027","R61/R33","NIH","NHLBI","None","RFA-HL-26-017","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-017.html"
"Catalyze: Enabling Technologies and Transformative Platforms for HLBS Research (R33 - Clinical Trials Not Allowed)","11/22/2024","12/24/2027","R33","NIH","NHLBI","None","RFA-HL-26-016","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-016.html"
"Innovative Approaches to Studying Cancer Communication in the New Information Ecosystem (R21 Clinical Trial Optional)","11/21/2024","9/8/2025","R21","NIH","NCI","None","PA-25-295","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-295.html"
"Innovative Approaches to Studying Cancer Communication in the New Information Ecosystem (R01 Clinical Trial Optional)","11/21/2024","9/8/2025","R01","NIH","NCI","None","PA-25-294","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-294.html"
"Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R01 Clinical Trial Not Allowed)","11/21/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-287","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-287.html"
"Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R21 Clinical Trial Not Allowed)","11/21/2024","1/8/2028","R21","NIH","NIMH","None","PAR-25-286","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-286.html"
"Utilizing the PLCO Biospecimens Resource to Bridge Gaps in Cancer Etiology and Early Detection Research (U01 Clinical Trial Not Allowed)","11/21/2024","10/9/2027","U01","NIH","NCI","None","PAR-25-248","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-248.html"
"Limited Competition: Competing Revisions to Support Clinical Trials in Somatic Cell Genome Editing (U19 Clinical Trial Required)","11/21/2024","2/14/2026","U19","NIH","RMOD","None","RFA-RM-24-008","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-24-008.html"
"Feasibility Clinical Trials of Mind and Body Interventions for NCCIH High Priority Research Topics (R34 Clinical Trial Required)","11/21/2024","11/18/2026","R34","NIH","NCCIH","None","PAR-25-274","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-274.html"
"Understanding Expectancies in Cancer Symptom Management (R01 Clinical Trial Required)","11/21/2024","5/8/2026","R01","NIH","NCI","None","PAR-25-254","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-254.html"
"Investigator Initiated Clinical Trials of Complementary and Integrative Interventions Delivered Remotely or via mHealth (R01 Clinical Trial Required)","11/21/2024","11/18/2026","R01","NIH","NCCIH","None","PAR-25-268","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-268.html"
"NCCIH Multi-Site Feasibility Clinical Trials of Mind and Body Interventions (R01 Clinical Trial Required)","11/21/2024","11/18/2026","R01","NIH","NCCIH","None","PAR-25-267","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-267.html"
"NIDA Avant-Garde Program for HIV and Substance Use Disorder Research (DP1 Clinical Trial Optional)","11/21/2024","8/16/2025","DP1","NIH","NIDA","None","PAR-25-261","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-261.html"
"Screening, Brief Intervention and Referral to Treatment or Prevention (SBIRT/P) for alcohol, tobacco, and other drugs (ATOD) use and misuse in adult populations that experience health disparities (R01, Clinical Trial Required)","11/21/2024","5/8/2027","R01","NIH","ODP","NCI, NIAAA, NIDA, NIDCR, NIMHD, ORWH","PAR-26-001","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-26-001.html"
"Building in vivo Preclinical Assays of Circuit Engagement for Application in Therapeutic Development (R01 Clinical Trial Not Allowed)","11/21/2024","9/8/2025","R01","NIH","NIMH","None","PAR-25-035","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-035.html"
"Novel Assays to Address Translational Gaps in Treatment Development (UG3/UH3 Clinical Trial Optional)","11/21/2024","6/21/2025","UG3/UH3","NIH","NIMH","None","PAR-25-034","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-034.html"
"BRAIN Initiative: Promoting Health for All Through BRAIN Technology Partnerships (R34 - Clinical Trials Not Allowed)","11/21/2024","6/18/2026","R34","NIH","NINDS","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, OBSSR","RFA-NS-25-016","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-016.html"
"Advancing Learning Health Care Research in Outpatient Mental Health Treatment Settings (R34 Clinical Trial Optional)","11/21/2024","1/8/2026","R34","NIH","NIMH","NIDA","PAR-25-278","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-278.html"
"Academic Research Enhancement Award (AREA) for Undergraduate-Focused Institutions (R15 Clinical Trial Required)","11/21/2024","1/8/2028","R15","NIH","NICHD","NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIDA, NIDCD, NIMH, NINR","PAR-25-148","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-148.html"
"Occupational Safety and Health Training Project Grants [T03]","11/20/2024","11/28/2028","T03","CDC","NIOSH","None","RFA-OH-25-003","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-25-003.html"
"NCI Pathway to Independence Award (K99/R00  Clinical Trial Not Allowed)","11/20/2024","10/15/2027","K99/R00","NIH","NCI","None","PAR-25-135","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-135.html"
"NIH StrokeNet Clinical Trials and Biomarker Studies for Stroke Treatment, Recovery, and Prevention (UG3/UH3 Clinical Trial Optional)","11/20/2024","11/20/2026","UG3/UH3","NIH","NINDS","None","PAR-25-052","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-052.html"
"Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed)","11/20/2024","10/3/2025","R21","NIH","NIDCD","NCATS, NICHD","PAR-25-217","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-217.html"
"Leveraging Extant Data to Understand Developmental Trajectories of Late Talking Children (R21 Clinical Trial Not Allowed)","11/20/2024","10/3/2025","R21","NIH","NIDCD","NCATS, NICHD, NIMH","PAR-25-220","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-220.html"
"Chemical Countermeasures Research Program (CCRP) Initiative: Basic Research on The Deleterious Effects of Acute Exposure to Ultra-Potent Synthetic (UPS) Opioids (R01 Clinical Trial Not Allowed)","11/20/2024","11/19/2027","R01","NIH","NIDA","NIAID","RFA-DA-26-034","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-034.html"
"Biology of Bladder Cancer (R01 Clinical Trial Optional)","11/19/2024","9/8/2025","R01","NIH","NCI","None","PAR-25-129","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-129.html"
"Biology of Bladder Cancer (R21 Clinical Trial Optional)","11/19/2024","9/8/2025","R21","NIH","NCI","None","PAR-25-128","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-128.html"
"Limited Competition: Small Grant Program for ORIP Special Emphasis Research Career Award (SERCA) K01 Recipients (R03 Clinical Trial Not Allowed)","11/18/2024","5/8/2026","R03","NIH","ORIP","None","PAR-25-176","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-176.html"
"NIDCR Research Grants for Analyses of Existing Genomics Data (R01) (Clinical Trial Not Allowed)","11/18/2024","5/8/2026","R01","NIH","NIDCR","None","PAR-25-164","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-164.html"
"NIDCR Small Research Grants for Analyses of Existing Genomics Data (R03 Clinical Trial Not Allowed)","11/18/2024","5/8/2026","R03","NIH","NIDCR","None","PAR-25-166","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-166.html"
"NCMRR Early Career Research Award (R03 Clinical Trial Optional)","11/18/2024","1/8/2028","R03","NIH","NICHD","None","PAR-25-124","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-124.html"
